index,date,open,high,low,close,volume,returns,return_1,return_3,return_5,momentum_5,momentum_10,volatility_5,volatility_10,ma_10,ma_20,ma_ratio,price_ma_ratio,zscore,rsi,rangeocp,rangehlp,vwap_d,atrr_14,garch_vol,garch_vol_change,vol_ratio
1259,20-04-2020,9390.200195,9390.849609,9230.799805,9261.849609,726400,-0.000528954,-0.000528814,0.037707395,0.016456415,0.003383943,0.00805175,0.016986564,0.036536901,8843.099902,8590.919922,1.029354246,1.047353271,1.469655774,64.74952287,1.38579864,1.728054454,9294.499674,422.476659,0.016690361,-0.01984654,0.456808327
1260,21-04-2020,9016.950195,9044.400391,8909.400391,8981.450195,655100,-0.03074241,-0.030274667,-0.001262077,-0.001378655,-7.99E-05,0.009024751,0.022136525,0.035220785,8915.864941,8616.552441,1.034736921,1.007356017,0.78702728,55.38502562,0.395259109,1.503098019,8978.416992,417.474699,0.016690361,-0.018530424,0.473878156
1261,22-04-2020,9026.75,9209.75,8946.25,9187.299805,734400,0.022660713,0.022919418,-0.008573685,0.029354756,0.006028398,0.01337635,0.02369406,0.03381454,9026.214941,8662.744922,1.041957835,1.017846336,1.110062276,57.88064215,-1.747518946,2.868089706,9114.433268,406.4765062,0.016690361,-0.017124179,0.493585324
1262,23-04-2020,9232.349609,9343.599609,9170.150391,9313.900391,666700,0.013685876,0.013779956,0.005619912,0.035706409,0.007271835,0.005991135,0.023956396,0.021683685,9078.384961,8691.167432,1.044552994,1.025942437,1.259641545,66.70440574,-0.875581419,1.862261904,9275.883464,389.8316999,0.016690361,-0.004993324,0.769719746
1263,24-04-2020,9163.900391,9296.900391,9141.299805,9154.400391,659400,-0.017273269,-0.017124942,0.019256377,-0.01212395,-0.00224581,0.004772831,0.021794881,0.022685332,9118.95,8768.374951,1.039981758,1.003887552,0.890466622,59.48538843,0.103775229,1.69973542,9197.533529,374.3151918,0.016690361,-0.005994971,0.735733563
1264,27-04-2020,9259.700195,9377.099609,9250.349609,9282.299805,512800,0.013874659,0.013971359,0.010340361,0.002208003,0.000654225,0.002019084,0.023011219,0.019122025,9135.989941,8842.437451,1.033198142,1.01601467,1.147996532,68.91876162,-0.243469936,1.365502113,9303.249674,363.4854794,0.016690361,-0.002431664,0.872834337
1265,28-04-2020,9389.799805,9404.400391,9260,9380.900391,614500,0.010566409,0.010622431,0.007193549,0.044475022,0.008833644,0.004376894,0.015217745,0.018514404,9174.69502,8895.58999,1.031375663,1.022475447,1.276199057,74.50316844,0.094867376,1.539302035,9348.433594,347.8365445,0.016690361,-0.001824042,0.901479765
1266,29-04-2020,9408.599609,9599.849609,9392.349609,9553.349609,653000,0.018216089,0.018383014,0.043580049,0.039843024,0.007926363,0.006977381,0.014273969,0.018468064,9237.5,8941.184961,1.033140466,1.034192109,1.521900224,68.02944792,-1.515175367,2.172013048,9515.182943,338.630307,0.016690361,-0.001777703,0.903741749
1267,30-04-2020,9753.5,9889.049805,9731.5,9859.900391,931200,0.031584229,0.032088303,0.062226021,0.058622057,0.011588033,0.009429934,0.018010278,0.020109948,9324.210059,9001.16748,1.035888964,1.057451551,1.928512569,73.40297483,-1.079122368,1.597884344,9826.816732,338.4210133,0.016690361,-0.003419587,0.829955427
1268,04-05-2020,9533.5,9533.5,9266.950195,9293.5,687500,-0.059160835,-0.057444839,-0.009316845,0.015194836,0.003524054,0.000639122,0.035047982,0.027682204,9326.885059,9051.7875,1.030391518,0.996420556,0.581490579,53.5231943,2.5824501,2.86813154,9364.650065,356.6016691,0.016690361,-0.010991843,0.602927444
1269,05-05-2020,9429.400391,9450.900391,9190.75,9205.599609,725200,-0.009503279,-0.009458266,-0.036400845,-0.008263059,-0.001161871,-0.000253823,0.034867783,0.027867463,9321.260059,9082.17998,1.026324085,0.987591758,0.306439453,54.15676832,2.431137468,2.826001582,9282.416667,349.7122921,0.016690361,-0.011177102,0.598919268
1270,06-05-2020,9226.799805,9346.900391,9116.5,9270.900391,722200,0.007068552,0.007093593,-0.059736912,-0.011725953,-0.001867639,0.003483003,0.03460434,0.025825169,9350.205078,9133.03501,1.023778521,0.991518401,0.389558751,56.79299369,-0.475688273,2.485199721,9244.766927,341.1900134,0.016690361,-0.009134808,0.64628272
1271,07-05-2020,9234.049805,9277.849609,9175.900391,9199.049805,708700,-0.007780308,-0.00775012,-0.010163038,-0.037086448,-0.007094265,0.000416049,0.032702324,0.025070569,9351.380078,9188.79751,1.017693563,0.983710397,0.040443489,54.04705002,0.380474079,1.108258145,9217.599935,324.1013852,0.016690361,-0.008380208,0.665735203
1272,08-05-2020,9376.950195,9382.650391,9238.200195,9251.5,609100,0.005685504,0.005701697,0.004986138,-0.061704517,-0.012371587,-0.000391777,0.026301047,0.024719806,9345.140039,9211.7625,1.014479047,0.989979814,0.168473014,49.67227592,1.355998436,1.561370538,9290.783529,314.0656139,0.016690361,-0.008029445,0.675181698
1273,11-05-2020,9348.150391,9439.900391,9219.950195,9239.200195,704600,-0.001330378,-0.001329493,-0.003419322,-0.005842772,-0.001148518,0.001187768,0.007541943,0.024026721,9353.62002,9236.28501,1.012703702,0.987767322,0.013936067,49.5148048,1.17921674,2.380619433,9299.683594,307.343084,0.016690361,-0.00733636,0.694658257
1274,12-05-2020,9168.849609,9240.849609,9043.950195,9196.549805,805500,-0.00462693,-0.004616243,-0.000271767,-0.000983076,-0.000180113,-0.000670992,0.006438319,0.023643807,9345.04502,9240.51748,1.011311871,0.984109738,-0.21201273,55.13045196,-0.301202037,2.141013948,9160.44987,299.4542504,0.016690361,-0.006953446,0.705908331
1275,13-05-2020,9584.200195,9584.5,9351.099609,9383.549805,846400,0.020129743,0.020333713,0.01427334,0.01215086,0.002467911,0.000300136,0.011165325,0.02434815,9345.309961,9260.00249,1.009212467,1.004091875,0.61404705,54.7233316,2.138320729,2.487335768,9439.716471,305.7753893,0.016690361,-0.007657789,0.685487816
1276,14-05-2020,9213.950195,9281.099609,9119.75,9142.75,602600,-0.02599692,-0.025661909,-0.010439236,-0.006120176,-0.001114447,-0.004104356,0.016743432,0.024694879,9304.25,9270.875,1.003599984,0.982642341,-0.683052341,46.09540283,0.778761262,1.764782034,9181.19987,302.7771333,0.016690361,-0.008004518,0.675863206
1277,15-05-2020,9182.400391,9182.400391,9050,9136.849609,575900,-0.000645571,-0.000645363,-0.006491586,-0.012392627,-0.002383859,-0.007377723,0.016333044,0.021300601,9231.944922,9278.07749,0.995027788,0.98969932,-0.789411312,49.56942279,0.498539247,1.449081426,9123.083333,290.6073659,0.016690361,-0.00461024,0.783562888
1278,18-05-2020,9158.299805,9158.299805,8806.75,8823.25,773000,-0.034925361,-0.03432251,-0.059710857,-0.045020152,-0.008982462,-0.00506549,0.021612098,0.015808864,9184.919922,9255.90249,0.992331102,0.960623508,-2.101899055,39.67848904,3.797351369,3.984357291,8929.433268,294.9603973,0.016690361,0.000881497,1.055759622
1279,19-05-2020,8961.700195,9030.349609,8855.299805,8879.099609,762200,0.006309874,0.006329823,-0.028837099,-0.034518401,-0.006793249,-0.003486681,0.022692345,0.016106975,9152.269922,9236.76499,0.990852309,0.970152726,-1.608319099,38.4960951,0.930281105,1.971481483,8921.583008,288.6846267,0.016690361,0.000583386,1.036219389
1280,20-05-2020,8889.150391,9093.799805,8875.349609,9066.549805,622300,0.020891639,0.021111397,-0.007694097,-0.033782524,-0.006637712,-0.002084901,0.022926221,0.017664733,9131.834863,9241.019971,0.988184734,0.992850828,-0.800271937,38.91623053,-1.956636404,2.409408209,9011.89974,283.6678816,0.016690361,-0.000974372,0.944840767
1281,21-05-2020,9079.450195,9178.549805,9056.099609,9106.25,631500,0.004369196,0.004378754,0.032074349,-0.003992234,-0.00062958,-0.000872013,0.020502442,0.017648917,9122.554883,9236.96748,0.987613619,0.998212685,-0.594682332,30.4667995,-0.294301218,1.344682996,9113.633138,272.1523326,0.016690361,-0.000958556,0.945687505
1282,22-05-2020,9067.900391,9149.599609,8968.549805,9039.25,675800,-0.007384785,-0.007357584,0.018036783,-0.010681976,-0.001972024,-0.002177942,0.020722304,0.017591516,9101.329883,9223.234961,0.986782829,0.993179032,-0.823925676,41.10859756,0.316955396,2.002929498,9052.466471,265.6450092,0.016690361,-0.000901155,0.948773277
1283,26-05-2020,9099.75,9161.650391,8996.650391,9029.049805,655000,-0.001129071,-0.001128434,-0.004136083,0.023324716,0.004666791,-0.002157836,0.010623605,0.017592708,9080.314844,9216.967432,0.985173802,0.994354266,-0.827597588,43.47104119,0.783030295,1.827434819,9062.450195,258.4560799,0.016690361,-0.000902347,0.948708975
1284,27-05-2020,9082.200195,9334,9004.25,9314.950195,763500,0.031173522,0.031664505,0.022918347,0.04908725,0.009733728,0.001470239,0.016195567,0.020525886,9092.154883,9218.599951,0.986283702,1.024504126,0.42319202,51.40049491,-2.498671438,3.540008192,9217.733398,263.5485028,0.016690361,-0.003835525,0.813137126
1285,28-05-2020,9364.950195,9511.25,9336.5,9490.099609,837900,0.018628451,0.018803044,0.049876882,0.046715654,0.009272057,0.001317172,0.015818668,0.020374737,9102.809863,9224.059912,0.986855024,1.042546176,1.141709612,58.6831281,-1.31873657,1.841392685,9445.94987,258.7450244,0.016690361,-0.003684376,0.819169346
1286,29-05-2020,9422.200195,9598.849609,9376.900391,9580.299805,967000,0.009459778,0.009504663,0.061052936,0.052057631,0.010297239,0.004833829,0.015586659,0.018109742,9146.564844,9225.407422,0.991453757,1.047420531,1.509590259,59.59327091,-1.65025743,2.316725189,9518.683268,256.1167525,0.016690361,-0.00141938,0.92162332
1287,01-06-2020,9726.849609,9931.599609,9706.950195,9826.150391,794200,0.025338353,0.025662097,0.054879541,0.087053726,0.016901175,0.007464575,0.013020195,0.019108612,9215.494922,9223.719922,0.999108277,1.066263991,2.615039339,65.07125179,-1.010576648,2.28624034,9821.566732,262.915542,0.016690361,-0.002418251,0.873447001
1288,02-06-2020,9880.849609,9995.599609,9824.049805,9979.099609,770200,0.015445628,0.015565528,0.051527383,0.10522146,0.020239967,0.012453379,0.008646986,0.012278413,9331.079883,9257.999902,1.007893712,1.069447452,2.524210479,69.01654587,-0.984557764,1.719091014,9932.916341,256.3894179,0.016690361,0.004411948,1.359325446
1289,03-06-2020,10108.2998,10176.2002,10035.5498,10061.5498,794700,0.008228342,0.008262288,0.050233292,0.080150682,0.015559524,0.012646626,0.00711501,0.012186189,9449.324902,9300.797412,1.015969329,1.064790333,2.257907253,67.35791091,0.464640149,1.39789986,10091.09993,252.1545013,0.016690361,0.004504172,1.369612765
1290,04-06-2020,10054.25,10123.84961,9944.25,10029.09961,775100,-0.003230381,-0.003225169,0.020653991,0.056796032,0.011153881,0.010212969,0.010580516,0.012726016,9545.579883,9338.707373,1.022152157,1.050653782,1.845956997,75.4019262,0.250774163,1.790784979,10032.39974,246.972009,0.016690361,0.003964345,1.311514872
1291,05-06-2020,10093.7998,10177.7998,10040.75,10142.15039,987100,0.011209218,0.011272276,0.016339228,0.058646451,0.011507404,0.010902321,0.010541092,0.0125605,9649.169922,9385.862402,1.028053631,1.051090454,1.831654943,77.14386967,-0.476729136,1.351289415,10120.2334,239.9525938,0.016690361,0.004129861,1.328797399
1292,08-06-2020,10326.75,10328.5,10120.25,10167.4502,936500,0.002491415,0.002494521,0.010525256,0.034733827,0.006873889,0.011887532,0.007382206,0.011291373,9761.989941,9431.659912,1.035023531,1.04153459,1.647424531,92.98686779,1.566762577,2.048202804,10205.40007,237.6881228,0.016690361,0.005398988,1.478151423
1293,09-06-2020,10181.15039,10291.15039,10021.4502,10046.65039,754200,-0.011952176,-0.011881032,0.001749986,0.006769226,0.001384577,0.010812272,0.009267249,0.013044469,9863.75,9472.032422,1.041355177,1.018542683,1.237184131,85.84850444,1.338754657,2.684478755,10119.75033,239.9746994,0.016690361,0.003645892,1.2794971
1294,10-06-2020,10072.59961,10148.75,10036.84961,10116.15039,632400,0.006893911,0.006917729,-0.002563559,0.005426658,0.001115665,0.008337594,0.009034364,0.010803986,9943.87002,9518.012451,1.044742279,1.017325284,1.243596711,84.74345936,-0.430507452,1.106155863,10100.58333,230.8265345,0.016690361,0.005886375,1.544833503
1295,11-06-2020,10094.09961,10112.0498,9885.049805,9902,715500,-0.021396438,-0.021169158,-0.026107843,-0.012673083,-0.002473133,0.004340374,0.013600111,0.013547776,9985.060059,9543.934961,1.046220464,0.991681566,0.734830511,73.61344392,1.940008174,2.292466168,9966.366536,230.8461096,0.016690361,0.003142585,1.231963058
1296,12-06-2020,9544.950195,9996.049805,9544.349609,9972.900391,796300,0.007134697,0.007160209,-0.007340755,-0.016687783,-0.003295546,0.004105929,0.012652423,0.013468532,10024.32012,9585.44248,1.045785851,0.994870502,0.796157513,77.64157642,-4.29113075,4.529276114,9837.766602,246.6214014,0.016690361,0.003221829,1.239211534
1297,15-06-2020,9919.349609,9943.349609,9726.349609,9813.700195,716100,-0.016092065,-0.015963279,-0.029897756,-0.034792401,-0.006987107,-5.66E-05,0.013220663,0.012460826,10023.0751,9619.28501,1.041977141,0.979110712,0.407351631,71.3469468,1.076550251,2.211194511,9827.799805,246.6163571,0.016690361,0.004229535,1.339426446
1298,16-06-2020,10014.7998,10046.15039,9728.5,9914,899900,0.010168511,0.010220386,0.001211876,-0.013203444,-0.002566823,-0.000591123,0.014778333,0.011814107,10016.56514,9673.82251,1.035429906,0.989760448,0.54268224,68.12829326,1.016742028,3.204058812,9896.216797,251.6902167,0.016690361,0.004876254,1.412748346
1299,17-06-2020,9876.700195,10003.59961,9833.799805,9881.150391,685400,-0.003318958,-0.003313457,-0.009199931,-0.023230181,-0.00461306,-0.001748697,0.013813597,0.011410456,9998.525195,9723.925049,1.02823964,0.988260788,0.390327053,62.9491201,-0.045037219,1.718421418,9906.183268,245.8409015,0.016690361,0.005279905,1.462725082
1300,18-06-2020,9863.25,10111.2002,9845.049805,10091.65039,622900,0.021079447,0.021303188,0.02832267,0.019152736,0.003881409,0.000704138,0.014142394,0.013502394,10004.78027,9775.180078,1.023488078,1.008682861,0.834382771,65.683186,-2.26326103,2.637332649,10015.9668,247.2915793,0.016690361,0.003187967,1.236103713
1301,19-06-2020,10119,10272.40039,10072.65039,10244.40039,892100,0.015022865,0.015136275,0.033326648,0.027223775,0.005476623,0.001090538,0.01502687,0.013888204,10015.00527,9832.087598,1.018604154,1.022905142,1.150266005,63.60471957,-1.224087168,1.949845695,10196.48372,243.8957522,0.016690361,0.002802157,1.201765176
1302,22-06-2020,10318.75,10393.65039,10277.59961,10311.2002,685400,0.006499449,0.006520616,0.043522241,0.050694436,0.009973402,0.001493148,0.009267452,0.0139914,10029.38027,9895.685107,1.013510451,1.028099435,1.293275265,61.44384433,0.073219456,1.125482767,10327.4834,237.1353413,0.016690361,0.002698961,1.192901326
1303,23-06-2020,10347.9502,10484.7002,10301.75,10471,669200,0.015378829,0.015497692,0.037590443,0.056183175,0.011028863,0.00423102,0.009597258,0.01376038,10071.81523,9967.782617,1.010436887,1.039633845,1.829626744,63.39516597,-1.17514855,1.747208436,10419.15007,233.2649738,0.016690361,0.002929981,1.21292866
