,date,open,high,low,close,rangeoc,rangehl,returns,return_1,return_3,return_5,momentum_5,momentum_10,volatility_5,volatility_10,ma_10,ma_20,ma_ratio,price_ma_ratio,zscore,rsi,state,state_prob_0,state_prob_1,state_prob_2,regime,xgb_prob,xgb_signal,signal,position,strategy_return,trade,costs,net_return,equity
269,21-03-2018,10181.9502,10227.2998,10132.9502,10155.25,0.3%,0.9%,0.003047438,0.003052086,-0.003913664,-0.024556031,-0.004932813,5.21E-05,0.008244776,0.009639648,10265.78008,10338.96997,0.992920969,0.989233154,-1.240014702,33.71444238,2,8.69E-16,1.86E-14,1,bear,0.74897504,1,0,0,0,0,0,0,100326.5478
270,22-03-2018,10167.5,10207.84961,10105.40039,10114.75,0.5%,1.0%,-0.003996059,-0.003988085,0.002030859,-0.023686953,-0.00475549,-0.001217801,0.008255865,0.009198615,10252.99004,10324.83496,0.993041543,0.9865171,-1.350283094,33.52040243,2,1.46E-11,3.20E-11,1,bear,0.68259937,1,0,0,0,0,0,0,100326.5478
271,23-03-2018,9968.799805,10027.7002,9951.900391,9998.049805,-0.3%,0.8%,-0.0116047,-0.011537625,-0.012474856,-0.019332779,-0.003877733,-0.002217299,0.006891895,0.009763503,10230.11006,10305.60244,0.992674627,0.977315957,-1.797913421,32.9763264,2,3.10E-12,7.32E-14,1,bear,0.7774705,1,0,0,0,0,0,0,100326.5478
272,26-03-2018,9989.150391,10143.5,9958.549805,10130.65039,-1.4%,1.8%,0.013175466,0.013262645,-0.002422354,0.003606052,0.000754176,-0.002793387,0.009223369,0.008452948,10201.03506,10287.58247,0.991587196,0.993100243,-0.926003144,44.52297585,2,2.70E-11,7.44E-11,1,bear,0.965098,1,0,0,0,0,0,0,100326.5478
273,27-03-2018,10188,10207.90039,10139.65039,10184.15039,0.0%,0.7%,0.005267108,0.005281003,0.006861306,0.005906629,0.001214005,-0.002317576,0.009417465,0.00878765,10176.76514,10267.66001,0.99114746,1.000725698,-0.535875396,51.43832089,2,2.09E-06,4.13E-09,0.999997909,bear,0.6910346,1,0,0,0,0,0,0,100326.5478
274,28-03-2018,10143.59961,10158.34961,10096.90039,10113.7002,0.3%,0.6%,-0.006941669,-0.006917631,0.011567295,-0.004091461,-0.000779939,-0.002856376,0.009970212,0.00889845,10147.04512,10245.63003,0.990377858,0.996713829,-0.917025203,43.69838132,2,4.82E-06,1.55E-10,0.999995178,bear,0.592253,1,0,0,0,0,0,0,100326.5478
275,02-04-2018,10151.65039,10220.09961,10127.75,10211.7998,-0.005890187,0.009043421,0.009652936,0.009699675,0.008010287,0.009594879,0.001957614,-0.001398938,0.01072007,0.009689521,10132.21006,10231.57754,0.990288156,1.007855122,-0.150222278,49.31929069,2,4.81E-06,4.50E-10,0.999995189,bear,0.8204243,1,0,0,0,0,0,0,100326.5478
276,03-04-2018,10186.84961,10255.34961,10171.0498,10245,-0.005675978,0.008228385,0.003245886,0.00325116,0.005974932,0.024699836,0.004915371,0.000518819,0.007672838,0.008291759,10137.19502,10220.91006,0.991809434,1.010634597,0.199942249,40.65774475,2,0.000664097,2.76E-06,0.999333146,bear,0.48884207,0,0,0,0,0,0,0,100326.5478
277,04-04-2018,10274.59961,10279.84961,10111.2998,10128.40039,0.014434581,0.016641305,-0.011446384,-0.011381123,0.001453493,-0.000222098,-1.34E-05,0.000370396,0.00880235,0.008509344,10140.61006,10209.3876,0.993263304,0.998795963,-0.688766725,35.85883825,2,4.64E-07,3.16E-09,0.999999533,bear,0.36222294,0,-1,0,0,0,0,0,100326.5478
278,05-04-2018,10228.4502,10331.7998,10227.4502,10325.15039,-0.0093655,0.010106352,0.019239307,0.019425575,0.011099962,0.013845043,0.002815531,0.002014768,0.012447432,0.010439886,10160.69014,10213.18262,0.994860321,1.016185933,0.932021071,46.53129138,2,1.46E-07,3.12E-13,0.999999854,bear,0.8398243,1,0,-1,-0.019425575,1,0.001,-0.020425575,98277.32034
279,06-04-2018,10322.75,10350.4502,10290.84961,10331.59961,-0.000856558,0.005768767,0.000624418,0.000624613,0.008452866,0.021544975,0.00432398,0.001772021,0.01138467,0.010441308,10178.3251,10222.05259,0.99572224,1.015058913,0.897312249,48.80214889,2,1.33E-05,5.66E-10,0.999986732,bear,0.09936395,0,-1,0,0,1,0.001,-0.001,98179.04302
280,09-04-2018,10333.7002,10397.7002,10328.5,10379.34961,-0.0043981,0.006667103,0.004611096,0.004621743,0.024776787,0.016407471,0.003308393,0.002633003,0.011005411,0.010267086,10204.78506,10228.88755,0.997643684,1.017106147,1.184516478,58.57139222,2,0.000598231,8.02E-10,0.999401768,bear,0.3779372,0,-1,-1,-0.004621743,1,0.001,-0.005621743,97627.10566
281,10-04-2018,10412.90039,10424.84961,10381.5,10402.25,0.001023855,0.00416733,0.002203911,0.002206342,0.007467166,0.015348951,0.00309943,0.0040074,0.011016683,0.009001253,10245.20508,10237.65757,1.00073723,1.015328626,1.239404249,65.45408931,2,0.066287762,3.77E-10,0.933712237,bear,0.38270673,0,-1,-1,-0.002206342,0,0,-0.002206342,97411.70691
282,11-04-2018,10428.15039,10428.15039,10355.59961,10417.15039,0.001055951,0.006964552,0.001431395,0.00143242,0.008280497,0.028508944,0.005662138,0.002824378,0.007837798,0.008407527,10273.85508,10237.44507,1.003556552,1.01394757,1.356336293,64.91901295,0,0.454047794,1.98E-05,0.545932383,bull,0.093354136,0,0,-1,-0.00143242,0,0,-0.00143242,97272.17244
283,12-04-2018,10410.65039,10469.90039,10395.25,10458.65039,-0.004589502,0.00713767,0.003975901,0.003983815,0.007640246,0.012929594,0.002573786,0.002694659,0.001689624,0.008375358,10301.30508,10239.03511,1.006081625,1.015274309,1.626153972,65.2938941,0,0.604247691,0.001071785,0.394680524,bull,0.14390422,0,0,0,0,1,0.001,-0.001,97174.90027
284,13-04-2018,10495.2998,10519.90039,10451.4502,10480.59961,0.00140261,0.006531134,0.002096467,0.002098666,0.007531987,0.014421775,0.002868597,0.003596289,0.001361177,0.007682226,10337.99502,10242.52007,1.009321432,1.013794221,1.694404054,68.79333006,0,0.919705225,5.30E-05,0.080241762,bull,0.09483143,0,0,0,0,0,0,0,97174.90027
285,16-04-2018,10398.2998,10540.15039,10396.34961,10528.34961,-0.012352345,0.013658435,0.00454569,0.004556037,0.010674629,0.014355427,0.002855456,0.003081925,0.001340175,0.007394994,10369.65,10250.93003,1.011581385,1.01530424,1.819777517,79.31778794,0,0.97876485,0.003017342,0.018217808,bull,0.055172473,0,0,0,0,0,0,0,97174.90027
286,17-04-2018,10557.2998,10560.4502,10495.65039,10548.7002,0.000815229,0.006142918,0.001931066,0.001932932,0.008610079,0.014078704,0.002800774,0.002950102,0.001378317,0.007403387,10400.02002,10268.60752,1.0127975,1.014296143,1.691667401,76.3870551,0,0.995235475,0.002008892,0.002755633,bull,0.050887812,0,0,0,0,0,0,0,97174.90027
287,18-04-2018,10578.90039,10594.2002,10509.7002,10526.2002,0.005006574,0.008027588,-0.002135242,-0.002132964,0.004350952,0.010468295,0.002087697,0.003874918,0.002623262,0.005823248,10439.8,10290.20503,1.014537608,1.008276039,1.390244277,72.46929436,0,0.999529679,0.000349355,0.000120965,bull,0.25879726,0,0,0,0,0,0,0,97174.90027
288,19-04-2018,10563.65039,10572.2002,10546.2002,10565.2998,-0.000156116,0.002460886,0.003707622,0.003714504,0.00350959,0.010197244,0.002033835,0.002303811,0.002576953,0.002073937,10463.81494,10312.25254,1.014697313,1.009698649,1.440961045,80.94000648,1,0.21911042,0.780746771,0.000142808,bull,0.004967345,0,0,0,0,0,0,0,97174.90027
